date,CBSA Title,cbsa_code,pct_chng_feb_1
2020-02-04,"Hartford-East Hartford-Middletown, CT",25540,0.149271737150736
2020-02-04,"Des Moines-West Des Moines, IA",19780,-0.374265401613816
2020-02-04,"Louisville/Jefferson County, KY-IN",31140,0.830267511185001
2020-02-04,"Albany-Schenectady-Troy, NY",10580,-0.560658658700341
2020-02-04,"Portland-Vancouver-Hillsboro, OR-WA",38900,0.720079820893549
2020-02-04,"Houston-The Woodlands-Sugar Land, TX",26420,-0.388113287252367
2020-02-04,"Rochester, NY",40380,0.854818131147761
2020-02-04,"Jacksonville, FL",27260,0.157394319565851
2020-02-04,"Las Vegas-Henderson-Paradise, NV",29820,-0.769927093060019
2020-02-04,"Stockton, CA",44700,2.10082604075272
2020-02-04,"Los Angeles-Long Beach-Anaheim, CA",31080,0.225610568988999
2020-02-04,"Lancaster, PA",29540,-0.743628895236048
2020-02-04,"San Antonio-New Braunfels, TX",41700,-0.101705098411209
2020-02-04,"Spokane-Spokane Valley, WA",44060,0.741137834083649
2020-02-04,"Tampa-St. Petersburg-Clearwater, FL",45300,0.22716757812995
2020-02-04,"San Jose-Sunnyvale-Santa Clara, CA",41940,0.0602992102566979
2020-02-04,"Fresno, CA",23420,-0.718812943415215
2020-02-04,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,0.122084082630658
2020-02-04,"St. Louis, MO-IL",41180,-0.238037219537957
2020-02-04,"Austin-Round Rock-Georgetown, TX",12420,0.556172013132827
2020-02-04,"Milwaukee-Waukesha, WI",33340,0.885847237927262
2020-02-04,"Dallas-Fort Worth-Arlington, TX",19100,0.122083015972141
2020-02-04,"Detroit-Warren-Dearborn, MI",19820,0.297322674995604
2020-02-04,"Columbus, OH",18140,0.14305337219751
2020-02-04,"Springfield, MA",44140,0.478703500860966
2020-02-04,"Toledo, OH",45780,0.780184460445588
2020-02-04,"Pensacola-Ferry Pass-Brent, FL",37860,0.21797221294324
2020-02-04,"Greenville-Anderson, SC",24860,-0.082458143703612
2020-02-04,"Deltona-Daytona Beach-Ormond Beach, FL",19660,0.155185445523043
2020-02-04,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,0.0670391560967376
2020-02-04,"Lexington-Fayette, KY",30460,0.98800627504807
2020-02-04,"Grand Rapids-Kentwood, MI",24340,0.125447008506652
2020-02-04,"Baton Rouge, LA",12940,0.886522044697369
2020-02-04,"Urban Honolulu, HI",46520,0.687549515017305
2020-02-04,"New Haven-Milford, CT",35300,0.169483062973375
2020-02-04,"San Francisco-Oakland-Berkeley, CA",41860,-0.0192139682979819
2020-02-04,"Cleveland-Elyria, OH",17460,-0.197056559073161
2020-02-04,"Wichita, KS",48620,0.690814196687772
2020-02-04,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,0.171836179753426
2020-02-04,"Atlanta-Sandy Springs-Alpharetta, GA",12060,0.197753995392436
2020-02-04,"Charlotte-Concord-Gastonia, NC-SC",16740,-0.177478593448377
